date,ticker,side,size,price,value,comm
2020-07-02,AAPL,BUY,593,89.08516372432459,52827.50208852448,52.827502088524476
2020-07-02,AMGN,BUY,159,210.2008178796387,33421.93004286255,33.421930042862556
2020-07-02,AXP,BUY,380,90.15380576192044,34258.446189529765,34.258446189529764
2020-07-02,BA,BUY,184,185.67279183197022,34163.79369708252,34.16379369708252
2020-07-02,CAT,BUY,295,114.61940580512125,33812.72471251077,33.812724712510764
2020-07-02,CRM,BUY,208,190.46031923317616,39615.74640050064,39.61574640050065
2020-07-02,CSCO,BUY,861,38.98771794157346,33568.42514769475,33.56842514769475
2020-07-02,CVX,BUY,494,69.55532556632616,34360.330829765124,34.360330829765125
2020-07-02,DIS,BUY,424,112.41030195804349,47661.96803021044,47.66196803021044
2020-07-02,GS,BUY,231,176.92664950993313,40870.05603679455,40.87005603679455
2020-07-02,HD,BUY,154,219.3209915492601,33775.43269858605,33.77543269858605
2020-07-02,HON,BUY,277,121.42282999805262,33634.12390946058,33.63412390946058
2020-07-02,IBM,BUY,471,89.39130440463697,42103.30437458401,42.10330437458401
2020-07-02,INTC,BUY,635,52.790903357606325,33522.223632080015,33.52222363208001
2020-07-02,JNJ,BUY,278,120.31742702794982,33448.24471377005,33.44824471377006
2020-07-02,JPM,BUY,418,81.69536495840526,34148.6625526134,34.1486625526134
2020-07-02,KO,BUY,1051,38.10871189144836,40052.256197912226,40.05225619791222
2020-07-02,MCD,BUY,211,163.95676413240125,34594.87723193666,34.594877231936664
2020-07-02,MMM,BUY,314,107.26480234779439,33681.14793720744,33.68114793720744
2020-07-02,MRK,BUY,539,62.57546913120936,33728.177861721844,33.728177861721846
2020-07-02,MSFT,BUY,170,196.01886716936139,33323.20741879143,33.323207418791434
2020-07-02,NKE,BUY,621,91.04078769667984,56536.32915963818,56.53632915963818
2020-07-02,PG,BUY,322,104.04102890330671,33501.21130686476,33.501211306864754
2020-07-02,TRV,BUY,342,102.29984548411873,34986.54715556861,34.98654715556861
2020-07-02,UNH,BUY,180,272.872679601175,49117.082328211494,49.117082328211495
2020-07-02,VZ,BUY,867,38.67773330964758,33533.59477946445,33.53359477946445
2020-07-14,AAPL,SELL,-23,91.78082038395384,2048.9587656594654,2.1109588688309384
2020-07-14,AMGN,BUY,4,201.79679642893575,807.187185715743,0.807187185715743
2020-07-14,AXP,SELL,-1,86.73183452384092,90.15380576192044,0.08673183452384092
2020-07-14,BA,BUY,3,177.08849999999998,531.2655,0.5312655
2020-07-14,CAT,SELL,-12,116.35301932335803,1375.432869661455,1.3962362318802963
2020-07-14,CRM,SELL,-2,183.20724337485893,380.92063846635233,0.3664144867497179
2020-07-14,CSCO,SELL,-12,38.45841266451753,467.85261529888146,0.46150095197421037
2020-07-14,CVX,BUY,31,66.45774521426144,2060.1901016421043,2.0601901016421045
2020-07-14,DIS,SELL,-11,112.52255029619727,1236.5133215384783,1.2377480532581697
2020-07-14,GS,SELL,-5,184.5442932578125,884.6332475496656,0.9227214662890626
2020-07-14,HD,SELL,-2,216.54496578708395,438.6419830985202,0.4330899315741679
2020-07-14,HON,SELL,-1,119.56001405246843,121.42282999805262,0.11956001405246844
2020-07-14,IBM,SELL,-1,88.50360873523925,89.39130440463697,0.08850360873523926
2020-07-14,INTC,SELL,-3,51.562019942208586,158.37271007281896,0.15468605982662575
2020-07-14,JNJ,SELL,-11,123.6713254477386,1323.4916973074482,1.3603845799251246
2020-07-14,JPM,SELL,-26,84.74078373066261,2124.0794889185368,2.2032603769972283
2020-07-14,KO,SELL,-81,37.75119292545651,3086.805663207317,3.057846626961977
2020-07-14,MCD,SELL,-7,162.20096987442633,1147.6973489268087,1.1354067891209845
2020-07-14,MMM,BUY,23,105.34573409565346,2422.9518842000293,2.4229518842000295
2020-07-14,MRK,SELL,-1,61.69343226162134,62.57546913120936,0.06169343226162134
2020-07-14,MSFT,SELL,-2,196.2514370824332,392.0377343387227,0.3925028741648664
2020-07-14,NKE,BUY,26,88.78273993296028,2308.3512382569675,2.3083512382569675
2020-07-14,PG,SELL,-12,106.50540303134812,1248.4923468396803,1.2780648363761775
2020-07-14,TRV,SELL,-11,101.5135216314704,1125.2983003253062,1.1166487379461743
2020-07-14,UNH,SELL,-4,270.1595474554195,1091.4907184047,1.080638189821678
2020-07-14,VZ,SELL,-14,38.63291870928903,541.4882663350661,0.5408608619300465
2020-07-15,AAPL,SELL,-20,95.79696441601462,1781.7032744864919,1.9159392883202924
2020-07-15,AMGN,SELL,-3,211.4024682125743,629.9837526732202,0.634207404637723
2020-07-15,CVX,SELL,-11,70.11558218668834,763.0966290390086,0.7712714040535718
2020-07-15,DIS,SELL,-33,118.77216981606139,3709.539964615435,3.919481603930026
2020-07-15,GS,SELL,-12,195.8388370650553,2123.1197941191976,2.3500660447806636
2020-07-15,IBM,SELL,-12,91.32390527089495,1072.6956528556436,1.0958868632507395
2020-07-15,KO,SELL,-19,38.919616377942965,724.0655259375188,0.7394727111809163
2020-07-15,MCD,BUY,1,170.0915463888273,170.0915463888273,0.1700915463888273
2020-07-15,MMM,SELL,-11,108.76203760647364,1178.472100995496,1.19638241367121
2020-07-15,MSFT,BUY,5,199.71663708227027,998.5831854113513,0.9985831854113514
2020-07-15,NKE,BUY,80,90.69977531289165,7255.982025031331,7.255982025031332
2020-07-15,TRV,BUY,2,107.93770440989574,215.8754088197915,0.2158754088197915
2020-07-15,UNH,BUY,11,273.4356043348365,3007.7916476832015,3.0077916476832014
2020-07-16,AAPL,BUY,1,93.54124201543216,93.54124201543216,0.09354124201543217
2020-07-16,CRM,BUY,5,183.81450358488638,919.0725179244318,0.9190725179244319
2020-07-16,CVX,SELL,-3,68.7627054447957,208.11726246518418,0.2062881163343871
2020-07-16,DIS,SELL,-7,114.95404327933379,786.8721137063044,0.8046783029553365
2020-07-16,GS,SELL,-2,186.44425776016442,353.85329901986626,0.37288851552032887
2020-07-16,IBM,SELL,-10,91.53283156994044,893.9130440463697,0.9153283156994044
2020-07-16,KO,SELL,-8,38.88599132627204,304.86969513158687,0.3110879306101763
2020-07-16,MCD,BUY,1,167.6528745118183,167.6528745118183,0.16765287451181832
2020-07-16,MMM,BUY,1,108.37406055485822,108.37406055485822,0.10837406055485822
2020-07-16,TRV,BUY,3,105.84796905983143,317.5439071794943,0.31754390717949427
2020-07-16,UNH,BUY,7,276.9679982500779,1938.7759877505455,1.9387759877505455
2020-07-17,AAPL,BUY,4,93.95294701651832,375.8117880660733,0.3758117880660733
2020-07-17,CRM,BUY,1,184.52443481249927,184.52443481249927,0.18452443481249928
2020-07-17,CVX,BUY,4,68.80818149201149,275.23272596804594,0.27523272596804593
2020-07-17,DIS,BUY,5,116.22248105838523,581.1124052919262,0.5811124052919262
2020-07-17,GS,BUY,1,187.76066539178314,187.76066539178314,0.18776066539178313
2020-07-17,IBM,SELL,-1,92.80865743685222,89.39130440463697,0.09280865743685222
2020-07-17,KO,BUY,5,39.101609195637465,195.50804597818734,0.19550804597818733
2020-07-17,MMM,SELL,-3,109.36026862780518,321.41286037584257,0.3280808058834156
2020-07-17,TRV,SELL,-6,107.34121231507713,614.1905030579032,0.6440472738904627
