date,ticker,side,size,price,value,comm
2020-07-02,AAPL,BUY,593,89.0851868591699,52827.51580748775,52.82751580748774
2020-07-02,AMGN,BUY,159,210.20083282859824,33421.93241974712,33.42193241974712
2020-07-02,AXP,BUY,380,90.1538135925747,34258.44916517839,34.25844916517839
2020-07-02,BA,BUY,184,185.67279183197022,34163.79369708252,34.16379369708252
2020-07-02,CAT,BUY,295,114.61940580512125,33812.72471251077,33.812724712510764
2020-07-02,CRM,BUY,208,190.4603039168023,39615.74321469488,39.61574321469488
2020-07-02,CSCO,BUY,861,38.98772950179496,33568.43510104546,33.568435101045466
2020-07-02,CVX,BUY,494,69.55532556632616,34360.330829765124,34.360330829765125
2020-07-02,DIS,BUY,424,112.41030978313762,47661.97134805035,47.66197134805035
2020-07-02,GS,BUY,231,176.92664950993313,40870.05603679455,40.87005603679455
2020-07-02,HD,BUY,154,219.32097607150754,33775.43031501216,33.775430315012166
2020-07-02,HON,BUY,277,121.42282999805262,33634.12390946058,33.63412390946058
2020-07-02,IBM,BUY,471,89.39128913949382,42103.29718470159,42.103297184701596
2020-07-02,INTC,BUY,635,52.79089189617468,33522.21635407092,33.52221635407093
2020-07-02,JNJ,BUY,278,120.31744232469089,33448.248966264066,33.44824896626407
2020-07-02,JPM,BUY,418,81.6953883720745,34148.67233952714,34.14867233952714
2020-07-02,KO,BUY,1051,38.108708039977266,40052.25215001611,40.0522521500161
2020-07-02,MCD,BUY,211,163.9567952286686,34594.88379324907,34.59488379324907
2020-07-02,MMM,BUY,314,107.26481000919497,33681.150342887224,33.68115034288722
2020-07-02,MRK,BUY,539,62.575461518347275,33728.17375838918,33.72817375838918
2020-07-02,MSFT,BUY,170,196.0189128398295,33323.21518277102,33.32321518277102
2020-07-02,NKE,BUY,621,91.04077237597689,56536.31964548164,56.53631964548165
2020-07-02,PG,BUY,322,104.04103654409374,33501.21376719818,33.50121376719819
2020-07-02,TRV,BUY,342,102.2998220591391,34986.53914422557,34.986539144225574
2020-07-02,UNH,BUY,180,272.87264883903055,49117.0767910255,49.1170767910255
2020-07-02,VZ,BUY,867,38.677729474931795,33533.59145476587,33.53359145476587
2020-07-14,AAPL,SELL,-23,91.78082783530942,2048.9592977609077,2.1109590402121166
2020-07-14,AMGN,BUY,4,201.79675249900112,807.1870099960045,0.8071870099960045
2020-07-14,AXP,SELL,-1,86.73181204510313,90.1538135925747,0.08673181204510313
2020-07-14,BA,BUY,3,177.08849999999998,531.2655,0.5312655
2020-07-14,CAT,SELL,-12,116.35303384360326,1375.432869661455,1.396236406123239
2020-07-14,CRM,SELL,-2,183.20721344699115,380.9206078336046,0.3664144268939823
2020-07-14,CSCO,SELL,-12,38.45841266451753,467.85275402153957,0.46150095197421037
2020-07-14,CVX,BUY,31,66.45773045931536,2060.189644238776,2.060189644238776
2020-07-14,DIS,SELL,-11,112.52255029619727,1236.5134076145139,1.2377480532581697
2020-07-14,GS,SELL,-5,184.54427819051352,884.6332475496656,0.9227213909525677
2020-07-14,HD,SELL,-2,216.54499524934883,438.64195214301515,0.4330899904986977
2020-07-14,HON,SELL,-1,119.56001405246843,121.42282999805262,0.11956001405246844
2020-07-14,IBM,SELL,-1,88.50360873523925,89.39128913949382,0.08850360873523926
2020-07-14,INTC,SELL,-3,51.56202368324199,158.37267568852405,0.15468607104972598
2020-07-14,JNJ,SELL,-11,123.67134043213315,1323.4918655715996,1.3603847447534647
2020-07-14,JPM,SELL,-26,84.74079136866602,2124.080097673937,2.203260575585317
2020-07-14,KO,SELL,-81,37.75119665844972,3086.8053512381584,3.0578469293344277
2020-07-14,MCD,SELL,-7,162.20096987442633,1147.69756660068,1.1354067891209845
2020-07-14,MMM,BUY,23,105.34570428309415,2422.9511985111653,2.4229511985111656
2020-07-14,MRK,SELL,-1,61.693420927037685,62.575461518347275,0.06169342092703769
2020-07-14,MSFT,SELL,-2,196.25140690512077,392.037825679659,0.39250281381024155
2020-07-14,NKE,BUY,26,88.78275513153497,2308.3516334199094,2.3083516334199095
2020-07-14,PG,SELL,-12,106.50541058987123,1248.492438529125,1.2780649270784548
2020-07-14,TRV,SELL,-11,101.513536332018,1125.29804265053,1.116648899652198
2020-07-14,UNH,SELL,-4,270.1596946727145,1091.4905953561222,1.080638778690858
2020-07-14,VZ,SELL,-14,38.63291870928903,541.4882126490452,0.5408608619300465
2020-07-15,AAPL,SELL,-20,95.79694124314759,1781.7037371833978,1.9159388248629519
2020-07-15,AMGN,SELL,-3,211.40245288555263,629.9837931854563,0.6342073586566579
2020-07-15,CVX,SELL,-11,70.11559765917784,763.0966194553198,0.7712715742509562
2020-07-15,DIS,SELL,-33,118.77216214443823,3709.5402228435414,3.919481350766462
2020-07-15,GS,SELL,-12,195.83880551224095,2123.1197941191976,2.3500656661468913
2020-07-15,IBM,SELL,-12,91.32389768251319,1072.6954696739258,1.0958867721901584
2020-07-15,KO,SELL,-19,38.919620182515466,724.0654527595681,0.7394727834677939
2020-07-15,MCD,BUY,1,170.09151551686213,170.09151551686213,0.17009151551686214
2020-07-15,MMM,SELL,-11,108.76204526316232,1178.472157137633,1.1963824978947855
2020-07-15,MSFT,BUY,5,199.71663708227027,998.5831854113513,0.9985831854113514
2020-07-15,NKE,BUY,80,90.69979055917014,7255.983244733611,7.255983244733612
2020-07-15,TRV,BUY,2,107.93769663317156,215.8753932663431,0.2158753932663431
2020-07-15,UNH,BUY,11,273.4356345714513,3007.7919802859647,3.0077919802859645
2020-07-16,AAPL,BUY,1,93.54124965180475,93.54124965180475,0.09354124965180476
2020-07-16,CRM,BUY,5,183.81450358488638,919.0725179244318,0.9190725179244319
2020-07-16,CVX,SELL,-3,68.76271307727978,208.11725985145085,0.20628813923183936
2020-07-16,DIS,SELL,-7,114.95403576293702,786.8721684819634,0.8046782503405592
2020-07-16,GS,SELL,-2,186.44428811141512,353.85329901986626,0.3728885762228302
2020-07-16,IBM,SELL,-10,91.53283156994044,893.9128913949382,0.9153283156994044
2020-07-16,KO,SELL,-8,38.8859951481496,304.8696643198181,0.31108796118519677
2020-07-16,MCD,BUY,1,167.6528439469969,167.6528439469969,0.16765284394699692
2020-07-16,MMM,BUY,1,108.37404540733714,108.37404540733714,0.10837404540733714
2020-07-16,TRV,BUY,3,105.84795397965077,317.5438619389523,0.3175438619389523
2020-07-16,UNH,BUY,7,276.96802857018565,1938.7761999912996,1.9387761999912996
2020-07-17,AAPL,BUY,4,93.95297007304657,375.8118802921863,0.3758118802921863
2020-07-17,CRM,BUY,1,184.5244500268861,184.5244500268861,0.18452445002688608
2020-07-17,CVX,BUY,4,68.80816601197853,275.2326640479141,0.27523266404791413
2020-07-17,DIS,BUY,5,116.22248105838523,581.1124052919262,0.5811124052919262
2020-07-17,GS,BUY,1,187.7606498733442,187.7606498733442,0.1877606498733442
