train/reward_max,train/reward_min,train/reward,time/time_elapsed,train/reward_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range
7.812675,-7.825831,-0.22931351,11,0.08625767,176,2048,1,,,,,,,,,,,
33.600807,-49.684063,0.67393374,23,0.13983384,174,4096,2,12.38328905403614,0.01083904504776001,-42.60142958164215,0.225048828125,5.591580390930176,10,0.020707179,1.002210259437561,-0.028717652286286467,0.00025,0.2
32.75599,-52.394085,-1.0861613,34,0.14458957,177,6144,3,72.38450219631196,0.008510947227478027,-42.657402300834654,0.108447265625,51.20862579345703,20,0.013034804,1.0038853883743286,-0.016703402016719337,0.00025,0.2
14.914614,-21.733568,5.5622587,44,0.2024228,182,8192,4,71.94725711345673,0.012527108192443848,-42.6993665933609,0.127294921875,43.79994201660156,30,0.013440074,1.004988431930542,-0.018747413301025518,0.00025,0.2
47.439762,-77.54709,2.2891757,55,0.18156105,185,10240,5,34.406724500656125,0.007265746593475342,-42.71963105201721,0.15947265625,19.2677059173584,40,0.017226703,1.0053905248641968,-0.014626988332020118,0.00025,0.2
46.260822,-70.268036,1.8166953,65,0.1928029,187,12288,6,131.7752228975296,0.005907535552978516,-42.73374183177948,0.173046875,25.956743240356445,50,0.017402396,1.0059349536895752,-0.014871164213400335,0.00025,0.2
21.17467,-17.901684,2.860085,75,0.18272686,189,14336,7,117.99999876022339,-0.016281962394714355,-42.77539710998535,0.17666015625,38.70041275024414,60,0.023011409,1.0085937976837158,-0.012428125549922698,0.00025,0.2
36.655704,-53.262188,0.6122435,85,0.10559902,190,16384,8,44.87965105772018,0.0018201470375061035,-42.85586347579956,0.218115234375,30.290414810180664,70,0.019549921,1.0107883214950562,-0.018285606033168735,0.00025,0.2
36.618366,-52.762177,0.55436635,96,0.18749228,191,18432,9,65.44456611871719,-0.002913236618041992,-42.930529308319095,0.199951171875,34.38104248046875,80,0.021293458,1.0138192176818848,-0.012090554944006727,0.00025,0.2
38.207977,-51.927128,0.59282976,106,0.29019,192,20480,10,106.49348585605621,-0.01693546772003174,-43.01403369903564,0.252099609375,34.53300476074219,90,0.027226148,1.0165657997131348,-0.019801165562239476,0.00025,0.2
11.226227,-10.261127,3.056689,116,0.15109736,192,22528,11,166.79622609615325,0.004441201686859131,-43.09686350822449,0.231298828125,54.75761032104492,100,0.024791772,1.0186398029327393,-0.014417653418786359,0.00025,0.2
38.59492,-60.66318,0.28437856,127,0.18075892,192,24576,12,23.520695519447326,0.022968709468841553,-43.15357892513275,0.292431640625,14.706830024719238,110,0.036042564,1.0211719274520874,-0.018788900403887965,0.00025,0.2
52.48142,-87.52406,-0.045952242,137,0.29347062,193,26624,13,114.52389547824859,0.004706144332885742,-43.21846778392792,0.23603515625,99.51934814453125,120,0.028631251,1.0225512981414795,-0.01878324372228235,0.00025,0.2
27.812738,-25.187166,-6.475936,147,0.2163375,193,28672,14,222.36029601097107,0.019982874393463135,-43.23889229297638,0.196142578125,114.53638458251953,130,0.020286717,1.0230814218521118,-0.010690055543091149,0.00025,0.2
