train/reward_max,train/reward_min,train/reward,train/critic_loss,time/time_elapsed,time/episodes,train/reward_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss
,,11.417928,353.9170837402344,140,4,,82,11572,11471,0.001,214.81382751464844
,,11.417928,21.579008102416992,286,8,,80,23144,23043,0.001,165.08062744140625
,,11.417928,52.45555877685547,473,12,,73,34716,34615,0.001,139.9305419921875
,,11.417928,133.641845703125,677,16,,68,46288,46187,0.001,112.02469635009766
