date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WMT
2015-01-02,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
2015-01-05,0.028701703995466232,0.031013889238238335,0.03681326285004616,0.028701703995466232,0.028701703995466232,0.034109435975551605,0.028701703995466232,0.036347538232803345,0.047326330095529556,0.04151410609483719,0.028701703995466232,0.028701703995466232,0.028701703995466232,0.03379092365503311,0.028701703995466232,0.028701703995466232,0.028701703995466232,0.041880857199430466,0.04030223190784454,0.03611336648464203,0.0425194650888443,0.07471831142902374,0.028701703995466232,0.028704438358545303,0.028701703995466232,0.07801932096481323,0.0524061843752861
2015-01-06,0.02875712886452675,0.02947346121072769,0.03934278339147568,0.02875712886452675,0.02875712886452675,0.040217045694589615,0.02875712886452675,0.03324619680643082,0.052798815071582794,0.03784540668129921,0.02875712886452675,0.02875712886452675,0.02875712886452675,0.03265129402279854,0.02875712886452675,0.02875712886452675,0.02875712886452675,0.04436928406357765,0.04054180532693863,0.032621610909700394,0.04593423381447792,0.07530572265386581,0.02875712886452675,0.030000820755958557,0.02875712886452675,0.07816997915506363,0.0423959344625473
2015-01-07,0.028439361602067947,0.028439361602067947,0.0401541031897068,0.028439361602067947,0.028439361602067947,0.03927372768521309,0.028439361602067947,0.034752268344163895,0.05145445838570595,0.040485695004463196,0.028439361602067947,0.028439361602067947,0.028439361602067947,0.03306162357330322,0.028439361602067947,0.028439361602067947,0.028439361602067947,0.045459404587745667,0.04357561096549034,0.03518461436033249,0.04856441542506218,0.06971569359302521,0.028439361602067947,0.03092229925096035,0.028439361602067947,0.07730619609355927,0.040378231555223465
2015-01-08,0.0286428090184927,0.0286428090184927,0.03836014121770859,0.0286428090184927,0.0286428090184927,0.03520141914486885,0.0286428090184927,0.03680787235498428,0.046762242913246155,0.035779278725385666,0.0286428090184927,0.0286428090184927,0.0286428090184927,0.03283001855015755,0.03187694028019905,0.0286428090184927,0.0286428090184927,0.04630975425243378,0.03599974140524864,0.037218399345874786,0.04654696211218834,0.07605479657649994,0.0286428090184927,0.033134132623672485,0.0286428090184927,0.07785922288894653,0.04554535821080208
2015-01-09,0.029167452827095985,0.029167452827095985,0.033257339149713516,0.029167452827095985,0.029167452827095985,0.03085462376475334,0.029167452827095985,0.03897586464881897,0.04276197776198387,0.03224515542387962,0.029167452827095985,0.029167452827095985,0.029167452827095985,0.03211069479584694,0.03591155633330345,0.029167452827095985,0.029167452827095985,0.04617069289088249,0.03125716373324394,0.037164442241191864,0.044752947986125946,0.07928535342216492,0.029167452827095985,0.034000277519226074,0.029167452827095985,0.07928535342216492,0.051957227289676666
2015-01-12,0.02906448394060135,0.02906448394060135,0.034215450286865234,0.02906448394060135,0.02906448394060135,0.0323973149061203,0.02906448394060135,0.03839966654777527,0.04406636208295822,0.03275182098150253,0.02906448394060135,0.02906448394060135,0.02906448394060135,0.031852614134550095,0.03493698313832283,0.02906448394060135,0.02906448394060135,0.045787010341882706,0.032314129173755646,0.03708513826131821,0.04547838866710663,0.07900545746088028,0.02906448394060135,0.03346036747097969,0.02906448394060135,0.07900545746088028,0.05047007277607918
2015-01-13,0.02894298918545246,0.02894298918545246,0.03673162683844566,0.02894298918545246,0.02894298918545246,0.03372746333479881,0.02894298918545246,0.036890752613544464,0.04618539288640022,0.03250870853662491,0.02894298918545246,0.02894298918545246,0.02894298918545246,0.032333970069885254,0.03487662971019745,0.02894298918545246,0.02894298918545246,0.04680047929286957,0.03258907049894333,0.03648931533098221,0.04581102356314659,0.07867519557476044,0.02894298918545246,0.03385712951421738,0.02894298918545246,0.07867519557476044,0.04653225839138031
2015-01-14,0.02897309884428978,0.02897309884428978,0.03582977131009102,0.02897309884428978,0.02897309884428978,0.034771863371133804,0.02897309884428978,0.03721422329545021,0.04570144787430763,0.032699402421712875,0.02897309884428978,0.02897309884428978,0.02897309884428978,0.03239849954843521,0.0350307859480381,0.02897309884428978,0.02897309884428978,0.04592224583029747,0.032576803117990494,0.03625594452023506,0.04614003375172615,0.07875704765319824,0.02897309884428978,0.033262841403484344,0.02897309884428978,0.07875704765319824,0.04700484499335289
2015-01-15,0.028991220518946648,0.028991220518946648,0.03677316755056381,0.028991220518946648,0.028991220518946648,0.03770306333899498,0.028991220518946648,0.03739144653081894,0.04793929681181908,0.03166981041431427,0.028991220518946648,0.028991220518946648,0.028991220518946648,0.03369491919875145,0.03397597372531891,0.028991220518946648,0.028991220518946648,0.04851396009325981,0.03407156094908714,0.03441682085394859,0.04878678172826767,0.07612419873476028,0.028991220518946648,0.033932387828826904,0.028991220518946648,0.07639174908399582,0.04072022810578346
