date,size,price,sid,symbol,value
2015-01-05 00:00:00,1454,24.042136374239757,0,AAPL,-34957.26628814461
2015-01-05 00:00:00,306,114.56044680965545,1,AMGN,-35055.496723754564
2015-01-05 00:00:00,445,78.83630587908294,2,AXP,-35082.15611619191
2015-01-05 00:00:00,309,113.63098127142923,3,BA,-35111.973212871635
2015-01-05 00:00:00,509,67.93029859116699,4,CAT,-34576.521982904
2015-01-05 00:00:00,602,58.38284863687779,5,CRM,-35146.474879400426
2015-01-05 00:00:00,1794,19.490304602409566,6,CSCO,-34965.60645672276
2015-01-05 00:00:00,506,68.6770991881926,7,CVX,-34750.61218922545
2015-01-05 00:00:00,412,85.00170798977251,8,DIS,-35020.70369178627
2015-01-05 00:00:00,226,155.25911264174897,9,GS,-35088.55945703527
2015-01-05 00:00:00,443,78.87244831808904,10,HD,-34940.494604913445
2015-01-05 00:00:00,496,70.70078075045058,11,HON,-35067.587252223486
2015-01-05 00:00:00,363,96.38177694836169,12,IBM,-34986.585032255294
2015-01-05 00:00:00,1261,27.910413534164427,13,INTC,-35195.03146658134
2015-01-05 00:00:00,459,76.5868888092041,14,JNJ,-35153.38196342468
2015-01-05 00:00:00,760,46.11880417283959,15,JPM,-35050.29117135809
2015-01-05 00:00:00,1189,29.594810914993282,16,KO,-35188.23017792701
2015-01-05 00:00:00,500,70.31301674652099,17,MCD,-35156.50837326049
2015-01-05 00:00:00,367,95.43427921931597,18,MMM,-35024.38047348896
2015-01-05 00:00:00,914,38.5035904712677,19,MRK,-35192.28169073868
2015-01-05 00:00:00,884,39.74217255290114,20,MSFT,-35132.08053676461
2015-01-05 00:00:00,855,40.90100924068325,21,NKE,-34970.36290078418
2015-01-05 00:00:00,536,65.588533493042,22,PG,-35155.45395227051
2015-01-05 00:00:00,426,82.31498117414763,23,TRV,-35066.18198018689
2015-01-05 00:00:00,419,83.55427148873382,24,UNH,-35009.23975377947
2015-01-05 00:00:00,1367,25.745839585304264,25,VZ,-35194.56271311093
2015-01-05 00:00:00,1521,23.1391062669754,26,WMT,-35194.580632069585
2015-01-06 00:00:00,9,23.522818153381348,0,AAPL,-211.70536338043212
2015-01-06 00:00:00,2,113.46149518203735,1,AMGN,-226.9229903640747
2015-01-06 00:00:00,-16,76.91146857070923,2,AXP,1230.5834971313477
